"slurm_task_id","trial_id","relative_update","cross_counter","cross_counter_str","first_cross_update"
333,893,518,2,"Second",256
334,276,324,2,"Second",4519
335,609,471,2,"Second",839
335,622,425,2,"Second",3946
335,879,502,2,"Second",3141
335,962,420,2,"Second",1084
337,594,399,2,"Second",2892
337,664,506,2,"Second",2834
338,679,345,2,"Second",243
338,816,2473,2,"Second",722
338,892,371,2,"Second",1075
339,59,361,2,"Second",1095
339,199,254,2,"Second",3840
339,428,322,2,"Second",2809
340,467,353,2,"Second",2562
341,117,691,2,"Second",4198
342,324,286,2,"Second",3103
342,342,181,2,"Second",1419
342,627,380,2,"Second",3142
342,950,675,2,"Second",3652
343,500,618,2,"Second",804
344,37,362,2,"Second",4086
344,965,202,2,"Second",4527
346,766,446,2,"Second",813
346,828,356,2,"Second",3756
347,16,577,2,"Second",3713
348,303,247,2,"Second",2802
348,448,323,2,"Second",1320
348,503,391,2,"Second",1676
348,740,463,2,"Second",2140
349,198,431,2,"Second",1223
349,468,169,2,"Second",4662
350,85,319,2,"Second",2218
350,639,505,2,"Second",627
351,613,573,2,"Second",3387
352,16,388,2,"Second",2354
352,413,204,2,"Second",4816
353,402,245,2,"Second",655
353,619,252,2,"Second",796
353,658,352,2,"Second",4241
354,375,251,2,"Second",990
355,355,242,2,"Second",2408
355,458,3438,2,"Second",2043
355,727,2070,2,"Second",1230
355,853,385,2,"Second",968
357,157,279,2,"Second",4221
358,305,606,2,"Second",4881
358,629,365,2,"Second",870
360,119,238,2,"Second",2678
360,362,597,2,"Second",3784
361,214,519,2,"Second",3423
361,595,346,2,"Second",913
362,689,279,2,"Second",2853
363,229,374,2,"Second",1120
363,452,356,2,"Second",3266
363,798,364,2,"Second",3475
364,299,527,2,"Second",2708
364,506,584,2,"Second",1456
365,303,317,2,"Second",2084
366,301,4789,2,"Second",1463
366,418,358,2,"Second",4249
366,517,574,2,"Second",504
366,968,4534,2,"Second",1941
367,216,456,2,"Second",3069
367,494,371,2,"Second",3553
369,319,499,2,"Second",436
370,420,640,2,"Second",4127
370,947,578,2,"Second",2188
372,713,471,2,"Second",4018
373,245,558,2,"Second",1614
373,359,372,2,"Second",1765
374,125,649,2,"Second",4683
375,173,351,2,"Second",2529
375,412,486,2,"Second",408
375,446,275,2,"Second",139
376,372,631,2,"Second",2774
376,824,374,2,"Second",4776
377,265,301,2,"Second",2758
378,270,352,2,"Second",742
378,371,202,2,"Second",2362
379,31,195,2,"Second",4221
379,88,605,2,"Second",4504
379,979,103,2,"Second",3654
381,27,437,2,"Second",316
381,423,554,2,"Second",1946
382,167,418,2,"Second",1908
382,445,511,2,"Second",3043
382,525,470,2,"Second",2823
383,240,432,2,"Second",2837
383,524,381,2,"Second",2887
383,525,3142,2,"Second",3532
384,516,546,2,"Second",317
384,831,641,2,"Second",1023
385,623,402,2,"Second",1824
386,350,426,2,"Second",1732
386,694,478,2,"Second",159
388,68,438,2,"Second",3275
390,388,369,2,"Second",3109
390,471,431,2,"Second",3940
392,586,2443,2,"Second",667
393,206,472,2,"Second",4309
393,207,379,2,"Second",1346
393,476,308,2,"Second",3778
394,29,570,2,"Second",3600
394,419,535,2,"Second",3364
394,531,382,2,"Second",552
394,811,156,2,"Second",345
395,598,245,2,"Second",4533
395,789,303,2,"Second",159
395,907,389,2,"Second",452
395,915,194,2,"Second",2386
397,550,364,2,"Second",4582
397,893,643,2,"Second",4531
397,907,370,2,"Second",4333
398,191,162,2,"Second",2502
398,277,370,2,"Second",4202
399,388,390,2,"Second",3972
399,582,2751,2,"Second",4374
400,698,1362,2,"Second",341
401,470,552,2,"Second",3150
401,848,193,2,"Second",2865
403,319,352,2,"Second",2601
405,480,570,2,"Second",1010
406,17,544,2,"Second",4083
406,900,621,2,"Second",3707
406,997,338,2,"Second",2255
407,790,388,2,"Second",1027
408,315,283,2,"Second",4777
408,529,391,2,"Second",3901
409,350,444,2,"Second",3017
409,370,638,2,"Second",252
411,143,193,2,"Second",4283
413,452,434,2,"Second",4626
413,634,311,2,"Second",2603
413,957,630,2,"Second",4261
414,178,549,2,"Second",2801
414,218,490,2,"Second",1303
414,463,450,2,"Second",3242
415,361,2899,2,"Second",3097
415,365,321,2,"Second",405
416,307,423,2,"Second",4099
416,607,320,2,"Second",2202
417,773,323,2,"Second",1853
417,842,469,2,"Second",2582
418,434,332,2,"Second",4892
419,126,218,2,"Second",962
419,533,376,2,"Second",365
419,823,355,2,"Second",3170
420,703,214,2,"Second",813
421,747,247,2,"Second",2767
422,412,589,2,"Second",4310
422,829,580,2,"Second",4000
422,851,3481,2,"Second",4539
423,338,411,2,"Second",3646
423,795,438,2,"Second",884
424,161,3194,2,"Second",4794
424,640,3706,2,"Second",2433
425,496,182,2,"Second",792
425,674,314,2,"Second",2947
426,251,298,2,"Second",502
426,468,355,2,"Second",2123
426,893,542,2,"Second",3085
427,453,344,2,"Second",3107
427,951,226,2,"Second",4343
429,141,176,2,"Second",1176
429,215,335,2,"Second",272
430,22,194,2,"Second",3306
430,701,951,2,"Second",963
431,12,599,2,"Second",2285
432,270,415,2,"Second",1621
432,294,594,2,"Second",3820
432,346,471,2,"Second",3694
432,943,562,2,"Second",2130
433,508,597,2,"Second",2508
434,459,420,2,"Second",800
434,855,414,2,"Second",615
435,135,631,2,"Second",3636
435,652,498,2,"Second",3462
435,817,355,2,"Second",4940
436,278,204,2,"Second",544
437,37,293,2,"Second",1659
437,440,228,2,"Second",361
437,581,791,2,"Second",3339
439,427,328,2,"Second",4571
439,769,462,2,"Second",1624
440,902,474,2,"Second",405
441,119,295,2,"Second",93
441,339,465,2,"Second",1186
441,666,607,2,"Second",4343
441,671,410,2,"Second",3930
441,835,606,2,"Second",822
441,957,310,2,"Second",3627
442,582,567,2,"Second",1372
442,885,291,2,"Second",938
442,932,287,2,"Second",236
443,300,2485,2,"Second",2093
443,959,591,2,"Second",2626
444,159,432,2,"Second",3619
446,407,703,2,"Second",497
446,481,334,2,"Second",2092
446,836,356,2,"Second",1824
446,876,484,2,"Second",3868
446,985,364,2,"Second",3818
447,665,456,2,"Second",2046
448,275,117,2,"Second",710
448,433,380,2,"Second",4686
448,452,445,2,"Second",4709
448,460,293,2,"Second",2771
448,912,3225,2,"Second",1783
449,365,465,2,"Second",1805
449,638,542,2,"Second",1392
451,348,264,2,"Second",238
451,520,363,2,"Second",312
451,664,360,2,"Second",961
452,70,1984,2,"Second",2712
452,607,353,2,"Second",234
453,871,390,2,"Second",4757
454,42,348,2,"Second",4824
454,154,627,2,"Second",1028
454,258,375,2,"Second",724
454,514,665,2,"Second",2744
455,299,271,2,"Second",1877
456,547,375,2,"Second",877
456,774,363,2,"Second",3671
456,797,502,2,"Second",1000
458,642,273,2,"Second",2726
459,37,2474,2,"Second",4190
459,398,352,2,"Second",1856
459,997,505,2,"Second",2359
460,519,917,2,"Second",2869
460,926,546,2,"Second",4740
461,337,252,2,"Second",1783
462,134,298,2,"Second",3302
462,701,400,2,"Second",4972
463,147,385,2,"Second",2328
463,191,370,2,"Second",3216
463,1000,350,2,"Second",3531
464,304,421,2,"Second",2605
464,976,454,2,"Second",4049
465,70,186,2,"Second",3431
465,210,500,2,"Second",1200
465,606,297,2,"Second",3838
466,21,435,2,"Second",247
466,426,443,2,"Second",2488
466,714,536,2,"Second",4125
466,961,1197,2,"Second",451
467,687,339,2,"Second",366
467,883,216,2,"Second",1941
469,371,189,2,"Second",3451
469,976,397,2,"Second",852
470,875,465,2,"Second",932
471,130,280,2,"Second",751
471,633,1798,2,"Second",316
472,333,450,2,"Second",2749
472,340,313,2,"Second",3158
472,823,598,2,"Second",3707
473,607,274,2,"Second",2425
474,348,759,2,"Second",1124
475,118,273,2,"Second",2185
477,172,452,2,"Second",293
477,899,547,2,"Second",1775
478,605,462,2,"Second",3594
479,21,444,2,"Second",4985
479,30,314,2,"Second",4635
479,32,298,2,"Second",4370
479,844,498,2,"Second",4846
479,870,63,2,"Second",2060
480,265,529,2,"Second",4335
481,466,575,2,"Second",3712
483,251,4206,2,"Second",4848
483,610,213,2,"Second",3806
483,692,245,2,"Second",2389
485,330,466,2,"Second",4675
486,67,349,2,"Second",4696
487,127,634,2,"Second",377
487,638,869,2,"Second",1235
487,678,298,2,"Second",2564
488,422,410,2,"Second",3367
489,299,579,2,"Second",235
489,674,387,2,"Second",813
489,721,416,2,"Second",2522
489,894,517,2,"Second",752
490,120,504,2,"Second",3184
490,236,165,2,"Second",365
490,459,368,2,"Second",423
490,585,387,2,"Second",2806
491,48,572,2,"Second",1533
491,724,596,2,"Second",201
492,426,356,2,"Second",2930
493,161,455,2,"Second",1309
493,249,218,2,"Second",1936
494,238,293,2,"Second",2624
494,752,366,2,"Second",755
495,79,326,2,"Second",4563
495,817,3039,2,"Second",2800
495,905,3835,2,"Second",4619
495,1000,356,2,"Second",353
496,246,470,2,"Second",2690
496,265,266,2,"Second",3326
496,886,3606,2,"Second",386
497,22,270,2,"Second",738
498,241,384,2,"Second",4332
498,454,477,2,"Second",3040
499,590,524,2,"Second",3821
500,364,516,2,"Second",937
