"","leading_edge_index","leading_edge_val","crossed_frac_7","crossed_frac_0","crossed_frac_11","crossed_frac_3","crossed_frac_15","count_7","count_0","count_11","count_3","count_15"
"155",200,16,0.8841,0.5915,0.8982,0.8664,0.9084,8841,5915,8982,8664,9084
"156",200,17,0.9961,0.6152,0.9974,0.9782,0.9992,9961,6152,9974,9782,9992
"157",208,12,0.065,0.0683,0.0633,0.0652,0.0688,650,683,633,652,688
"158",208,13,0.132,0.1209,0.1338,0.1308,0.1277,1320,1209,1338,1308,1277
"159",208,14,0.2932,0.2456,0.2992,0.2917,0.2961,2932,2456,2992,2917,2961
"160",208,15,0.573,0.4292,0.5774,0.5628,0.5752,5730,4292,5774,5628,5752
"161",208,16,0.8806,0.5879,0.8985,0.8682,0.9085,8806,5879,8985,8682,9085
"162",208,17,0.9945,0.6052,0.9976,0.9793,0.9986,9945,6052,9976,9793,9986
"163",216,12,0.068,0.0602,0.0694,0.068,0.0675,680,602,694,680,675
"164",216,13,0.1257,0.1142,0.1314,0.1229,0.1272,1257,1142,1314,1229,1272
"165",216,14,0.2954,0.2356,0.2849,0.2888,0.2947,2954,2356,2849,2888,2947
"166",216,15,0.5647,0.4151,0.5775,0.5564,0.5845,5647,4151,5775,5564,5845
"167",216,16,0.882,0.5893,0.8947,0.868,0.9004,8820,5893,8947,8680,9004
"168",216,17,0.9957,0.6089,0.9974,0.9747,0.9989,9957,6089,9974,9747,9989
"169",224,12,0.0593,0.0623,0.0567,0.0586,0.0604,593,623,567,586,604
"170",224,13,0.1259,0.115,0.1231,0.1206,0.1221,1259,1150,1231,1206,1221
"171",224,14,0.2892,0.2308,0.2814,0.2787,0.2872,2892,2308,2814,2787,2872
"172",224,15,0.5628,0.4217,0.575,0.555,0.5732,5628,4217,5750,5550,5732
"173",224,16,0.8819,0.5762,0.8961,0.8682,0.9028,8819,5762,8961,8682,9028
"174",224,17,0.9945,0.6069,0.9979,0.9764,0.9988,9945,6069,9979,9764,9988
"175",232,12,0.0568,0.0564,0.0566,0.0547,0.0542,568,564,566,547,542
"176",232,13,0.1216,0.106,0.1199,0.1161,0.1235,1216,1060,1199,1161,1235
"177",232,14,0.2791,0.2229,0.2781,0.2775,0.268,2791,2229,2781,2775,2680
"178",232,15,0.5578,0.4079,0.5673,0.5515,0.5516,5578,4079,5673,5515,5516
"179",232,16,0.8737,0.5837,0.8905,0.8637,0.9009,8737,5837,8905,8637,9009
"180",232,17,0.9952,0.6023,0.9977,0.9777,0.9991,9952,6023,9977,9777,9991
"181",240,12,0.047,0.051,0.0535,0.0504,0.0479,470,510,535,504,479
"182",240,13,0.1137,0.0973,0.1156,0.1122,0.1132,1137,973,1156,1122,1132
"183",240,14,0.2706,0.2189,0.2751,0.2677,0.2767,2706,2189,2751,2677,2767
"184",240,15,0.56,0.404,0.5632,0.5433,0.5698,5600,4040,5632,5433,5698
